Date,Usage
2021-03-04,1810.94
2021-03-05,1450.43
2021-03-06,1606.58
2021-03-07,1568.86
2021-03-08,1732.34
2021-03-09,1800.46
2021-03-10,1520.65
2021-03-11,1505.98
2021-03-12,1459.86
2021-03-13,984.07
2021-03-14,1359.26
2021-03-15,1658.98
2021-03-16,1662.13
2021-03-17,1730.25
2021-03-18,1511.22
2021-03-19,1391.74
2021-03-20,1141.27
2021-03-21,1231.4
2021-03-22,1870.68
2021-03-23,1564.66
2021-03-24,1515.41
2021-03-25,1806.75
2021-03-26,1276.46
2021-03-27,1158.04
2021-03-28,1346.68
2021-03-29,1460.91
2021-03-30,1912.6
2021-03-31,1685.18
2021-04-01,686.0
2021-04-02,307.0
2021-04-03,629.7
2021-04-04,970.3
2021-04-05,1930.3
2021-04-06,1754.3
2021-04-07,1751.1
2021-04-08,1327.8
2021-04-09,1134.8
2021-04-10,1103.54
2021-04-11,1509.12
2021-04-12,1770.0
2021-04-13,1984.8
2021-04-14,1720.7
2021-04-15,1560.4
2021-04-16,850.9
2021-04-17,1210.3
2021-04-18,1212.4
2021-04-19,1693.4
2021-04-20,1695.6
2021-04-21,1426.2
2021-04-22,1543.6
2021-04-23,1041.6
2021-04-24,1009.2
2021-04-25,1350.7
2021-04-26,1336.1
2021-04-27,1775.2
2021-04-28,1586.6
2021-04-29,1496.4
2021-04-30,1359.1
2021-05-01,1150.7
2021-05-02,971.5
2021-05-03,1655.84
2021-05-04,1771.12
2021-05-05,1616.02
2021-05-06,1531.13
2021-05-07,1259.7
2021-05-08,1190.53
2021-05-09,1563.62
2021-05-10,1744.92
2021-05-11,1496.54
2021-05-12,1572.0
2021-05-13,1509.12
2021-05-14,974.64
2021-05-15,834.21
2021-05-16,869.84
2021-05-17,1315.24
2021-05-18,1508.07
2021-05-19,1511.22
2021-05-20,1545.8
2021-05-21,1188.43
2021-05-22,775.52
2021-05-23,1208.34
2021-05-24,1490.26
2021-05-25,1514.36
2021-05-26,1747.02
2021-05-27,1493.4
2021-05-28,820.58
2021-05-29,457.98
2021-05-30,487.32
2021-05-31,1231.4
2021-06-01,1864.3
2021-06-02,1682.04
2021-06-03,1813.04
2021-06-04,1071.06
2021-06-05,1114.02
2021-06-06,1167.47
2021-06-07,1340.39
2021-06-08,1379.17
2021-06-09,1621.26
2021-06-10,1394.89
2021-06-11,1025.99
2021-06-12,874.03
2021-06-13,1097.26
2021-06-14,1510.17
2021-06-15,1617.06
2021-06-16,1858.1
2021-06-17,1384.41
2021-06-18,1156.99
2021-06-19,1231.4
2021-06-20,1280.66
2021-06-21,1706.14
2021-06-22,1810.94
2021-06-23,1611.82
2021-06-24,1627.54
2021-06-25,1074.2
2021-06-26,841.54
2021-06-27,991.41
2021-06-28,1649.55
2021-06-29,1894.78
2021-06-30,1599.25
2021-07-01,1396.84
2021-07-02,487.2
2021-07-03,111.0
2021-07-04,441.1
2021-07-05,970.32
2021-07-06,1586.09
2021-07-07,1978.41
2021-07-08,1570.35
2021-07-09,1085.72
2021-07-10,942.0
2021-07-11,1214.74
2021-07-12,1592.38
2021-07-13,1651.13
2021-07-14,1462.31
2021-07-15,1337.48
2021-07-16,1082.57
2021-07-17,745.84
2021-07-18,1059.49
2021-07-19,1410.9
2021-07-20,1417.2
2021-07-21,1516.85
2021-07-22,1521.05
2021-07-23,975.57
2021-07-24,829.76
2021-07-25,863.33
2021-07-26,1786.45
2021-07-27,1565.11
2021-07-28,1504.27
2021-07-29,1504.27
2021-07-30,1184.32
2021-07-31,923.62
2021-08-01,1385.73
2021-08-02,1597.63
2021-08-03,1442.38
2021-08-04,1377.34
2021-08-05,1461.26
2021-08-06,1152.85
2021-08-07,1150.75
2021-08-08,1171.73
2021-08-09,1571.4
2021-08-10,1695.18
2021-08-11,1468.6
2021-08-12,1575.6
2021-08-13,1072.08
2021-08-14,1234.67
2021-08-15,1621.75
2021-08-16,1603.92
2021-08-17,1393.07
2021-08-18,1582.94
2021-08-19,1354.26
2021-08-20,1063.69
2021-08-21,855.98
2021-08-22,1261.95
2021-08-23,1448.67
2021-08-24,1485.38
2021-08-25,1496.92
2021-08-26,1224.18
2021-08-27,911.58
2021-08-28,901.09
2021-08-29,1060.54
2021-08-30,1580.84
2021-08-31,1518.95
2021-09-01,1595.53
2021-09-02,1369.99
2021-09-03,533.94
2021-09-04,329.39
2021-09-05,512.96
2021-09-06,893.75
2021-09-07,1208.45
2021-09-08,1526.3
2021-09-09,1454.96
2021-09-10,1224.18
2021-09-11,890.6
2021-09-12,1089.91
2021-09-13,1164.39
2021-09-14,1694.14
2021-09-15,1660.57
2021-09-16,1823.16
2021-09-17,771.01
2021-09-18,826.61
2021-09-19,1287.12
2021-09-20,1715.12
2021-09-21,1822.11
2021-09-22,1677.35
2021-09-23,1563.01
2021-09-24,872.77
2021-09-25,1041.66
2021-09-26,1452.86
2021-09-27,1676.3
2021-09-28,1822.11
2021-09-29,1876.66
2021-09-30,1567.21
2021-10-01,1316.5
2021-10-02,1123.48
2021-10-03,1456.01
2021-10-04,1598.68
2021-10-05,1565.11
2021-10-06,1597.63
2021-10-07,1574.55
2021-10-08,1104.6
2021-10-09,846.54
2021-10-10,1195.86
2021-10-11,1650.08
2021-10-12,1536.78
2021-10-13,1649.03
2021-10-14,1558.81
2021-10-15,1205.3
2021-10-16,1090.96
2021-10-17,1204.25
2021-10-18,1602.87
2021-10-19,1647.98
2021-10-20,1514.76
2021-10-21,1538.88
2021-10-22,1101.45
2021-10-23,1080.47
2021-10-24,1321.74
2021-10-25,1954.29
2021-10-26,2084.36
2021-10-27,1793.79
2021-10-28,1768.61
2021-10-29,971.37
2021-10-30,949.34
2021-10-31,1164.39
2021-11-01,1588.19
2021-11-02,1898.69
2021-11-03,1800.08
2021-11-04,1627.0
2021-11-05,1457.06
2021-11-06,1226.28
2021-11-07,1581.89
2021-11-08,1807.43
2021-11-09,1952.19
2021-11-10,1859.88
2021-11-11,1816.87
2021-11-12,1159.14
2021-11-13,1005.99
2021-11-14,1302.86
2021-11-15,1865.12
2021-11-16,1527.34
2021-11-17,1726.65
2021-11-18,1766.52
2021-11-19,1323.84
2021-11-20,978.72
2021-11-21,1141.31
2021-11-22,1638.54
