Date,total_usage,xgboost_pred,ridge_pred,en_pred,prophet_pred,avg_usage_plags,avg_usage_plags_week,ensemble_preds,sarimax_preds
5/14/2024,2176.69,2123.120848,2188.45234,2266.613352,2059.479318,2175.88476,2189.870468,2071.057413,2170.769973
5/15/2024,1773.22,2025.353361,2074.276019,1990.953596,1979.203862,2101.978374,2098.198777,2016.895128,2091.651247
5/16/2024,1543.704,1680.004561,1679.442765,1597.306058,1790.294531,1805.701162,1891.397106,1856.471432,1897.875053
5/17/2024,1442.048,995.2910972,1173.065204,1126.280197,1218.367101,1382.104318,1263.826638,1409.597427,1282.931367
5/18/2024,1048,1236.565075,1261.949832,1342.190786,890.775841,1236.928939,1066.666319,1231.531459,1067.083524
5/19/2024,1453.57,1608.420654,1402.225993,1367.520152,1335.147952,1564.89462,1506.658574,1490.395169,1500.350653
5/20/2024,1977.58,1851.765251,1957.146357,1972.104108,1848.029657,2006.848011,2083.487511,1886.511689,2086.587141
5/21/2024,2369.53,1938.403376,2054.955143,2099.286896,1899.25552,2173.675486,2186.965787,1985.376331,2170.974136
5/22/2024,2127.44,2126.378587,2098.284368,2038.79647,1832.663903,2091.243737,2091.922819,1979.826564,2091.855409
5/23/2024,1880.112,1916.926801,1823.236231,1849.449007,1659.992016,1795.25905,1882.648106,1830.839935,1898.079215
5/24/2024,762.944,1353.336548,1265.843242,1487.902486,1106.478267,1366.162922,1255.233745,1399.173958,1283.13553
5/25/2024,309.16,368.3132017,587.5521968,676.1600629,799.0471993,1218.839285,1061.188872,1101.796097,1067.287686
5/26/2024,665.48,693.2616235,732.8564816,800.7941679,1264.854851,1542.417838,1496.686128,1295.889853,1500.554816
5/27/2024,1413.752,1320.780171,1431.366194,1426.059189,1799.946802,1986.639073,2075.279745,1670.12779,2086.791303
5/28/2024,1997.488,1858.639299,1933.901386,1758.252276,1873.640185,2154.788346,2181.821851,1891.530967,2171.178298
5/29/2024,2116.96,1964.806974,2012.823405,1902.973382,1829.252239,2093.307045,2091.45984,1881.772309,2092.059572
5/30/2024,1749.11,1948.085778,1865.198664,1689.185062,1678.008474,1793.442564,1882.915787,1782.887178,1898.283378
5/31/2024,1260.75,1226.45613,1197.343029,1107.993607,1144.657851,1367.866268,1246.451447,1306.820611,1283.339692
6/1/2024,1302.67,1073.532211,960.3520456,863.8639463,855.669885,1208.958017,1046.221532,1083.734857,1067.491849
6/2/2024,1794.18,1675.187731,1500.770036,1411.348206,1337.791208,1528.041374,1480.805383,1401.215828,1500.758978
